# Classification des entrées de docs/memory/pitfalls.md par stack.
# Format : <PIT-ID><TAB><backend|frontend|both|tooling>
#
#   backend  -> pit-backend.md uniquement
#   frontend -> pit-frontend.md uniquement
#   both     -> les deux (contrat traversant : DTO/Zod, cookie, CORS…)
#   tooling  -> les deux (piège d'outillage/orchestration : worktree, RTK, CI, env)
#
# Une entrée ABSENTE de cette table part en `tooling` (visible des deux côtés) et
# est signalée par gen-pit-packs.sh : le mode d'échec est bruyant, jamais silencieux.
# À compléter en fin de sprint quand de nouveaux PIT sont consignés.

PIT-S1-001	backend
PIT-S1-002	backend
PIT-S1-003	backend
PIT-S1-004	tooling
PIT-S2-001	backend
PIT-S2-002	backend
PIT-S2-003	backend
PIT-S2-004	backend
PIT-S2-005	backend
PIT-S3-001	backend
PIT-S3-002	tooling
PIT-S3-003	backend
PIT-S3-004	backend
PIT-S3-005	tooling
PIT-S4-001	backend
PIT-S4-002	backend
PIT-S4-003	backend
PIT-S4-004	backend
PIT-S4-005	tooling
PIT-S5-001	backend
PIT-S5-002	backend
PIT-S5-003	backend
PIT-S5-004	tooling
PIT-S7-001	frontend
PIT-S7-002	frontend
PIT-S7-003	frontend
PIT-S8-001	frontend
PIT-S8-002	backend
PIT-S8-003	backend
PIT-S8-004	frontend
PIT-S8-005	frontend
PIT-S9-001	backend
PIT-S9-002	frontend
PIT-S9-003	frontend
PIT-S10-001	backend
PIT-S10-002	backend
PIT-S10-003	backend
PIT-S10-004	backend
PIT-S10-005	backend
PIT-S11-001	frontend
PIT-S11-002	frontend
PIT-S11-003	frontend
PIT-S12-001	backend
PIT-S12-002	backend
PIT-S12-003	tooling
PIT-S13-001	backend
PIT-S13-002	backend
PIT-S13-003	backend
PIT-S13-004	backend
PIT-S14-001	backend
PIT-S14-002	tooling
PIT-S15-001	frontend
PIT-S15-002	both
PIT-S15-003	backend
PIT-S15-004	frontend
PIT-S16-001	backend
PIT-S16-002	tooling
PIT-S16-003	frontend
PIT-S16-004	frontend
PIT-S17-001	frontend
PIT-S17-002	frontend
PIT-S17-003	frontend
PIT-S18-001	frontend
PIT-S19-001	tooling
PIT-S19-002	frontend
PIT-S20-001	frontend
PIT-S20-002	frontend
PIT-S20-003	tooling
PIT-S21-001	tooling
PIT-S21-002	frontend
PIT-S21-003	frontend
PIT-S22-001	frontend
PIT-S22-002	frontend
PIT-S22-003	tooling
PIT-S23-001	backend
PIT-S23-002	backend
PIT-S24-001	frontend
PIT-S24-002	tooling
PIT-S25-001	backend
PIT-S25-002	backend
PIT-S26-001	frontend
PIT-S26-002	frontend
PIT-S27-001	backend
PIT-S27-002	tooling
PIT-S27-003	tooling
PIT-S28-001	tooling
PIT-S29-001	tooling
PIT-S31-001	frontend
PIT-S31-002	frontend
PIT-S32-001	backend
PIT-S32-002	backend
PIT-S33-001	frontend
PIT-S33-002	frontend
PIT-S34-001	frontend
PIT-S35-001	backend
PIT-S37-001	backend
PIT-S37-002	backend
PIT-S37-003	tooling
PIT-S37-004	backend
PIT-S39-001	frontend
PIT-S40-001	frontend
PIT-S40-002	frontend
PIT-S40-003	frontend
PIT-S41-001	frontend
PIT-S41-002	frontend
PIT-S41-003	frontend
PIT-S41-004	tooling
PIT-S41-005	frontend
PIT-S42-001	backend
PIT-S42-002	backend
PIT-S42-003	frontend
PIT-S44-001	both
PIT-S44-002	backend
PIT-S44-003	frontend
PIT-S44-004	frontend
PIT-S44-005	frontend
PIT-S45-001	frontend
PIT-S45-002	frontend
PIT-S45-003	tooling
PIT-S45-004	frontend
PIT-S45-005	tooling
PIT-S45-006	frontend
PIT-S45-007	frontend
PIT-S45-008	frontend
PIT-S45-009	backend
PIT-S46-001	frontend
PIT-S46-002	frontend
PIT-S46-003	frontend
PIT-S46-004	tooling
PIT-S47-001	tooling
PIT-S47-002	tooling
PIT-S47-003	tooling
PIT-S47-004	tooling
PIT-S47-005	frontend
PIT-S48-001	frontend
PIT-S48-002	frontend
PIT-S48-003	frontend
PIT-S48-004	frontend
PIT-S48-005	frontend
PIT-S49-001	frontend
PIT-S49-002	frontend
PIT-S49-003	frontend
PIT-S49-004	frontend
PIT-S49-005	frontend
PIT-S49-006	tooling
PIT-S49-007	frontend
PIT-S49-008	frontend
PIT-S50-001	backend
PIT-S50-002	backend
PIT-S50-003	frontend
PIT-S50-004	frontend
PIT-S50-005	tooling
PIT-S50-006	tooling
PIT-S50-007	tooling
PIT-S50-008	backend
PIT-S52-001	frontend
PIT-S52-002	tooling
PIT-S52-003	frontend
PIT-S52-004	frontend
PIT-S52-005	tooling
PIT-S52-006	tooling
PIT-S52-007	tooling
PIT-S53-001	frontend
PIT-S53-002	frontend
PIT-S53-003	frontend
PIT-S53-004	frontend
PIT-S53-005	frontend
PIT-S53-006	tooling
PIT-S54-001	tooling
PIT-S54-002	frontend
PIT-S54-003	frontend
PIT-S54-004	tooling
PIT-S55-001	tooling
PIT-S55-002	tooling
PIT-S55-003	tooling
PIT-S56-001	frontend
PIT-S56-002	frontend
PIT-S56-003	frontend
PIT-S56-004	tooling
PIT-S56-005	tooling
PIT-S56-006	tooling
PIT-S57-001	tooling
PIT-S57-002	frontend
PIT-S57-003	tooling
PIT-S58-001	frontend
PIT-S58-002	frontend
PIT-S58-003	frontend
PIT-S58-004	tooling
PIT-S58-005	tooling
PIT-S59-001	frontend
PIT-S59-002	frontend
PIT-S59-003	frontend
PIT-S59-004	tooling
PIT-S60-001	tooling
PIT-S60-002	tooling
PIT-S60-003	tooling
PIT-S60-004	tooling
PIT-S60-005	tooling
PIT-S60-006	frontend
